satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Female,Loyal Customer,65,Personal Travel,Eco,265,0,0,0,2,2,4,2,3,3,0,3,5,3,2,0,0
satisfied,Male,Loyal Customer,47,Personal Travel,Business,2464,0,0,0,3,0,2,2,3,4,4,4,2,3,2,310,305
satisfied,Female,Loyal Customer,15,Personal Travel,Eco,2138,0,0,0,3,2,0,2,2,3,3,4,4,4,2,0,0
satisfied,Female,Loyal Customer,60,Personal Travel,Eco,623,0,0,0,3,3,4,3,1,1,0,1,4,1,3,0,0
satisfied,Female,Loyal Customer,70,Personal Travel,Eco,354,0,0,0,3,4,3,4,2,2,0,2,4,2,5,0,0
satisfied,Male,Loyal Customer,30,Personal Travel,Eco,1894,0,0,0,3,2,0,2,2,5,4,5,5,4,2,0,0
satisfied,Female,Loyal Customer,66,Personal Travel,Eco,227,0,0,0,3,2,5,5,5,5,0,5,5,5,3,17,15
satisfied,Male,Loyal Customer,10,Personal Travel,Eco,1812,0,0,0,3,2,0,2,2,3,3,4,5,4,2,0,0
satisfied,Female,Loyal Customer,56,Personal Travel,Business,73,0,0,0,3,5,3,5,4,4,0,1,5,4,4,0,0
satisfied,Male,Loyal Customer,22,Personal Travel,Eco,1556,0,0,0,3,2,0,2,2,2,4,5,3,4,2,30,26
satisfied,Female,Loyal Customer,58,Personal Travel,Eco,104,0,0,0,3,3,3,3,3,3,0,1,2,3,5,47,48
satisfied,Female,Loyal Customer,34,Personal Travel,Eco,3633,0,0,0,4,2,0,2,2,3,2,5,2,5,2,0,0
satisfied,Male,Loyal Customer,62,Personal Travel,Eco,1695,0,0,0,4,5,0,5,5,1,3,2,2,4,5,0,0
satisfied,Male,Loyal Customer,35,Personal Travel,Eco,1766,0,1,0,1,4,0,4,4,3,5,2,3,2,4,0,0
satisfied,Female,Loyal Customer,47,Personal Travel,Eco,84,0,1,0,1,5,2,1,5,5,0,5,2,5,2,40,48
satisfied,Male,Loyal Customer,60,Personal Travel,Eco,1373,0,1,0,1,1,0,1,1,3,4,1,4,2,1,0,0
satisfied,Female,Loyal Customer,13,Personal Travel,Eco,3693,0,1,0,2,4,0,4,4,4,4,1,3,1,4,5,0
satisfied,Female,Loyal Customer,52,Personal Travel,Business,2610,0,1,0,2,1,2,2,1,1,0,1,2,1,3,0,0
satisfied,Female,Loyal Customer,55,Personal Travel,Eco,2554,0,1,0,2,0,1,1,2,1,1,2,1,3,1,0,0
satisfied,Female,Loyal Customer,28,Personal Travel,Eco,3095,0,1,0,2,3,0,3,3,2,5,2,3,2,3,0,0
satisfied,Female,Loyal Customer,9,Personal Travel,Eco,3305,0,1,0,2,3,0,5,3,1,1,1,3,3,3,0,0
satisfied,Female,Loyal Customer,10,Personal Travel,Eco,2090,0,1,0,2,1,0,1,1,3,5,1,4,2,1,0,0
satisfied,Female,Loyal Customer,25,Personal Travel,Eco,2122,0,1,0,2,2,0,4,2,4,1,3,1,3,2,0,0
satisfied,Male,Loyal Customer,53,Personal Travel,Business,1099,0,1,0,2,1,3,3,1,1,0,1,3,1,1,0,0
satisfied,Female,Loyal Customer,16,Personal Travel,Eco Plus,1747,0,1,0,2,2,0,2,2,3,3,2,4,3,2,0,0
satisfied,Male,Loyal Customer,30,Personal Travel,Eco,1817,0,1,0,2,4,0,4,4,2,1,3,3,2,4,0,0
satisfied,Male,Loyal Customer,64,Personal Travel,Eco,1707,0,1,0,2,5,0,3,5,4,4,2,3,2,5,0,0
satisfied,Female,Loyal Customer,42,Personal Travel,Eco,470,0,1,0,2,3,2,2,3,3,0,3,1,3,4,2,23
satisfied,Male,Loyal Customer,9,Personal Travel,Eco,972,0,1,0,2,4,0,4,4,4,3,3,1,3,4,0,0
satisfied,Female,Loyal Customer,35,Personal Travel,Eco,3695,0,1,0,3,0,4,4,2,2,3,4,4,3,4,0,0
satisfied,Male,Loyal Customer,62,Personal Travel,Eco Plus,2948,0,1,0,3,5,0,5,5,4,1,2,2,2,5,34,19
satisfied,Female,Loyal Customer,21,Personal Travel,Eco,2823,0,1,0,3,2,0,2,2,2,2,2,2,3,2,4,0
satisfied,Female,Loyal Customer,20,Personal Travel,Eco,2485,0,1,0,3,2,0,2,2,2,3,3,4,3,2,0,0
satisfied,Female,Loyal Customer,26,Personal Travel,Eco,2408,0,1,0,3,4,0,4,4,1,4,4,2,3,4,0,0
satisfied,Female,Loyal Customer,20,Personal Travel,Eco,3009,0,1,0,3,4,0,3,4,1,2,3,1,4,4,0,0
satisfied,Female,Loyal Customer,48,Personal Travel,Eco,1449,0,1,0,3,3,3,2,2,2,1,2,4,2,2,0,2
satisfied,Female,Loyal Customer,10,Personal Travel,Eco,3209,0,1,0,3,4,0,4,4,4,3,3,1,4,4,0,0
satisfied,Male,Loyal Customer,57,Personal Travel,Eco,2840,0,1,0,3,4,0,4,4,2,4,2,4,3,4,0,0
satisfied,Male,Loyal Customer,25,Personal Travel,Eco,2534,0,1,0,3,2,0,2,2,3,5,2,1,4,2,0,0
satisfied,Female,Loyal Customer,31,Personal Travel,Eco,2162,0,1,0,3,2,0,3,2,1,4,2,1,2,2,13,0
satisfied,Female,Loyal Customer,22,Personal Travel,Eco,2352,0,1,0,3,3,0,3,3,2,1,2,2,3,3,0,0
satisfied,Female,Loyal Customer,17,Personal Travel,Eco,2748,0,1,0,3,1,4,4,3,1,3,4,4,1,4,427,440
satisfied,Male,Loyal Customer,33,Personal Travel,Eco,2045,0,1,0,3,1,0,4,1,4,5,4,3,3,1,15,0
satisfied,Male,Loyal Customer,32,Personal Travel,Eco,2343,0,1,0,3,1,0,1,1,2,2,1,1,3,1,0,0
satisfied,Female,Loyal Customer,60,Personal Travel,Eco,912,0,1,0,3,4,3,4,2,2,0,2,4,2,1,10,2
satisfied,Female,Loyal Customer,38,Personal Travel,Eco Plus,2139,0,1,0,3,5,0,5,5,3,5,3,3,2,5,0,0
satisfied,Female,Loyal Customer,29,Personal Travel,Eco,1918,0,1,0,3,5,0,5,5,1,3,3,3,4,5,16,5
satisfied,Male,Loyal Customer,42,Personal Travel,Eco,2311,0,1,0,3,1,0,1,1,1,4,3,2,3,1,0,0
satisfied,Female,Loyal Customer,31,Personal Travel,Business,1599,0,1,0,3,2,0,2,2,4,2,3,3,3,2,10,0
satisfied,Male,Loyal Customer,34,Personal Travel,Eco,1816,0,1,0,3,4,0,4,4,1,1,2,3,2,4,0,0
satisfied,Male,Loyal Customer,24,Personal Travel,Eco,1826,0,1,0,3,3,0,2,3,2,2,3,4,3,3,0,0
satisfied,Male,Loyal Customer,56,Personal Travel,Business,715,0,1,0,3,2,4,4,4,4,0,4,4,4,3,0,0
satisfied,Male,Loyal Customer,13,Personal Travel,Eco,2306,0,1,0,3,4,0,3,4,4,2,3,2,2,4,0,0
satisfied,Female,Loyal Customer,26,Personal Travel,Eco,1846,0,1,0,3,3,0,1,3,3,2,4,1,3,3,0,0
satisfied,Female,Loyal Customer,25,Personal Travel,Eco,1783,0,1,0,3,2,0,2,2,1,4,4,4,3,2,0,0
satisfied,Male,Loyal Customer,30,Personal Travel,Eco,1826,0,1,0,3,5,0,5,5,4,4,3,3,3,5,0,0
satisfied,Female,Loyal Customer,22,Personal Travel,Eco,1542,0,1,0,3,2,0,2,2,2,2,3,1,3,2,0,0
satisfied,Female,Loyal Customer,65,Personal Travel,Eco,423,0,1,0,3,4,4,3,2,2,0,1,3,2,4,0,0
satisfied,Male,Loyal Customer,24,Personal Travel,Eco,1473,0,1,0,3,5,0,5,5,1,1,4,4,3,5,11,1
satisfied,Male,Loyal Customer,37,Personal Travel,Eco Plus,1887,0,1,0,3,1,0,1,1,2,5,3,1,3,1,0,0
satisfied,Male,Loyal Customer,34,Personal Travel,Eco,1952,0,1,0,3,2,0,2,2,3,4,4,4,4,2,10,0
satisfied,Female,Loyal Customer,7,Personal Travel,Eco,1598,0,1,0,3,3,0,3,3,2,2,4,3,4,3,0,0
satisfied,Female,Loyal Customer,39,Personal Travel,Eco,1830,0,1,0,3,2,0,2,2,3,4,3,2,3,2,0,0
satisfied,Female,Loyal Customer,11,Personal Travel,Eco,1761,0,1,0,3,3,0,3,3,1,2,3,2,3,3,0,0
satisfied,Female,Loyal Customer,52,Personal Travel,Eco,332,0,1,0,3,5,4,3,3,3,0,3,4,3,4,0,0
satisfied,Male,Loyal Customer,24,Personal Travel,Business,1303,0,1,0,3,4,0,4,4,2,3,3,1,4,4,5,0
satisfied,Male,Loyal Customer,10,Personal Travel,Eco,1624,0,1,0,3,1,0,1,1,3,1,4,1,3,1,0,0
satisfied,Male,Loyal Customer,52,Personal Travel,Eco,1744,0,1,0,3,2,0,2,2,1,5,2,2,3,2,0,7
satisfied,Male,Loyal Customer,60,Personal Travel,Eco,868,0,1,0,3,3,0,3,3,4,1,3,2,4,3,0,0
satisfied,Female,Loyal Customer,49,Personal Travel,Eco Plus,2497,0,1,0,4,1,2,4,2,2,0,2,3,2,2,9,0
satisfied,Female,Loyal Customer,8,Personal Travel,Eco,2869,0,1,0,4,4,0,4,4,2,1,3,3,4,4,1,0
satisfied,Female,Loyal Customer,40,Personal Travel,Eco,3516,0,1,0,4,1,0,1,1,3,1,4,2,4,1,0,0
satisfied,Female,Loyal Customer,33,Personal Travel,Eco,2891,0,1,0,4,1,0,1,1,4,4,4,2,4,1,0,0
satisfied,Male,Loyal Customer,8,Personal Travel,Eco,2457,0,1,0,4,3,0,3,3,3,5,2,4,4,3,0,0
satisfied,Male,Loyal Customer,49,Personal Travel,Eco,1911,0,1,0,4,2,0,1,2,1,1,3,1,4,2,0,0
satisfied,Male,Loyal Customer,38,Personal Travel,Eco,2498,0,1,0,4,5,0,2,5,4,2,3,2,4,5,0,1
satisfied,Male,Loyal Customer,49,Personal Travel,Eco,2316,0,1,0,4,2,0,2,2,3,5,4,3,4,2,1,0
satisfied,Male,Loyal Customer,21,Personal Travel,Eco,2095,0,1,0,4,4,0,4,4,1,4,3,4,4,4,0,0
satisfied,Female,Loyal Customer,13,Personal Travel,Eco,1755,0,1,0,4,5,0,5,5,3,1,4,2,4,5,15,8
satisfied,Male,Loyal Customer,70,Personal Travel,Eco,1650,0,1,0,4,4,0,4,4,1,4,4,4,4,4,19,45
satisfied,Female,Loyal Customer,45,Personal Travel,Eco,488,0,1,0,4,1,4,3,5,5,0,5,2,5,1,0,0
satisfied,Female,Loyal Customer,67,Personal Travel,Eco,465,0,1,0,4,2,3,4,4,4,0,2,1,4,3,35,69
satisfied,Female,Loyal Customer,59,Personal Travel,Eco,474,0,1,0,4,4,3,3,3,3,0,3,1,3,1,0,0
satisfied,Male,Loyal Customer,48,Personal Travel,Business,374,0,1,0,4,2,3,3,5,5,0,1,3,5,3,14,13
